ID,MotivoAdherencia
R_3HIHWivLfA4y37G,ES UNA MUTUAL QUE ME CUBRIRA MIS NECESIDADES EXIGUIDAS POR  LA LEY  N°16.744 EN TODO CHILE.
R_6mtoBPkRbIEXG1P,Asegurar a los trabajadores Experiencia anterior Accesibilidad 
R_2rGZoNYgRJPIEa5,Mala atencion medica Tiempos de espera Tiempos respuesta
R_5WvsYDaxPUe7Y8B,"Mejorar la gestion preventiva, compromiso en la toma de acuerdos."
R_5JD410SovJDw4k9,"Apoyo en gestion de prevencion de riesgos, tiempos de respuesta y disponibilidad de asesor"
R_2R2oRuVXQTvqGzw,"Ejecutica accesible, documentos facil de obtener, web amigable"
R_1mQKEIQif6W316X,"Nombre en el mercado, necesidad de incorporarse a una institucion de salud."
R_xbGbYcLoZ9BOQwh,Por la pronta atencion al trabajador y proceso de recuperacion 
R_2zDfkbasisYqFrS,Porque tienen atencion a los trabajadores 24/7
R_1r9vAoylHeGoQez,-Unificar el holding de las empresas. -Facilidad de trabajo con el CEL. -PEC.
R_3h58nAyPboBHAk3,Por su plataforma digital y soporte como organismo administrador y connotada experiencia en mineria
R_25XVATKcxIB47xW,Porque hemos estado adheridos antes
R_3DnEgGfpZZjSY1r,Atencion Localizacion Claridad informacion
R_3q7Jrg76UeeE5BV,Amplia red de atencion para los trabajadores de la empresa.  Planes acordes a las necesidades de la empresa.  Enfoque en la mejor resolucion de las necesidades del cliente.
R_OPcbsAcVRch2Djb,POR EXPERIENCIA ANTERIOR CON MUTUAL  
R_1et0uXKPuStqvRS,Buena atencion en centros asistenciales Buen equipo personal en salud Buena indumentaria  
R_31TvNI4PwouYBAS,Trayectoria Acompañamiento Rapidez de respuesta a las dudas
R_YRiPZtoJXS3Nn8d,Red de asistencia Centros asistenciales Experiencia 
R_1dLdwDHCMBj5EHR,Es la mejor 
R_2xypK9fT0T2Hcwt,"La claridad de la informacion, procesos agiles y eficientes."
R_3G6V5h65mAzReqe,1.- presencia en faena Collahuasi (cordillera) 2.- policlinicos disponibles en faena (cordillera) 3.- recursos disponibles y enlace con Mutual Asesorias y Capacitaciones 
R_27w1rnhAzXAkjaN,necesidad de la empresa y buenas referencias de trabjadores en la atencion medica
R_eRteCI68UBkxyut,No tuve buena experiencia en la competencia.
R_2CPAaoROjYyfZsj,ESO ME PREGUNTO AHORA EN ESTE MISMO INSTANTE
R_23atg8CgKONiPQM,Por su alta experiencia en temas de accidentes del trabajo 
R_2aWetrbTJN8g4TB,"Atencion, Experiencia y Posicionamiento zonal.-"
R_voDTOGsxTj3Bd1D,MI otra empresa ya esta adherida
R_3ErLAcr5ubUmkSp,Buscando mejor gestion mayor apoyo en el trabajo   respuesta mas rapida 
R_wYnHTKxnK9YImRj,EXPERIENCIA
R_2VmD3XS8ji2HwwP,por experiencia  anteriores de empresas que he trabajado 
R_1N85O3ELliRZY4S,Por la buena referencia de la misma.
R_PAPMhujXp8jjc41,"POR LA EFICIENCIA EN TODOS LOS ASPECTOS, ES UNA DE LAS PRIMERAS EN SU RUBRO."
R_3ptBHlByyeTbMca,Por recomendaciones Para ver como funciona personalmente La atencion segun recomendaciones
R_2WIGz4m6q3Osjp1,Ya la conociamos y nos parece muy buena
R_QiebcmPUVyZblQt,no me satisfizo  la mutualidad que teniamos anteriormente  
R_dgTXhcHDhfSHqpz,La requiero es obligacion para entrar a las mineras chilenas
R_2YEduCqTQg8cq7X,por confiabilidad
R_1HoSrfyTMDli2Ha,Por recomendacion Por implementacion Mejor atencion 
R_XTCAzr42zWo9ezn,porque brindan una buena atencion al paciente/trabajador 
R_3EHltBmXRVWWFj1,"Facilidad en el proceso de incorporacion, rapidez del proceso"
R_1rIHLswnQ1csU4f,me cambie porque no tuvimos el apoyo de la otra conpetencia 
R_2eOUYXoFq6KMnOE,"Por recomendacion, ya que mantiene un mejor plan de trabajo. La plataforma es amigable y permite conocer el resumen de varios procesos. Facilidad para solicitar examenes ocupacionales y preocupacionales"
R_1fZxI6juEKfblzh,por tener empresas ahderidas y por la tension visualizada con ellos 
R_5psrx17mAy1pBAJ,La ayuda en las necesidades de mi empresa Material de Apoyo Atencion rapida en las sucursales de la empresa
R_3QtmllLueVfbPvX, porque la empresa principal esta adherida a mutual y queremos seguir con la misma mutualidad.
